Tên đối tác,Dòng nhạc,Team sử dụng,Số bài hát,Đơn vị tiền tệ,CP tháng 1,CP tháng 2,CP tháng 3,CP tháng 4,CP tháng 5,CP tháng 6,CP tháng 7,CP tháng 8,CP tháng 9,CP tháng 10,CP tháng 11,CP tháng 12,Total năm,_year,_source_id,_source_sheet,_batch_id,_loaded_at
Das Ohr Digital,Deep House,"Red One, An Tuệ & Vibe",51,"",0,3.395.520,3.600.000,3.900.000,6.286.540,0,0,0,0,0,0,0,17.182.060,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Das Ohr Digital,Deep House,"Red One, An Tuệ & Vibe",51,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Das Ohr Digital,Deep House,"Red One, An Tuệ & Vibe",51,"",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Das Ohr Digital,Deep House,"Red One, An Tuệ & Vibe",51,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Das Ohr Digital,Deep House,"Red One, An Tuệ & Vibe",51,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Martynas Laurinavicius Whitesand,Relax,"Red One, An Tuệ & Vibe, Bình Hào",134,"",21.839.760,21.839.760,21.839.760,23.659.740,23.659.740,0,0,0,0,0,0,0,112.838.760,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Martynas Laurinavicius Whitesand,Relax,"Red One, An Tuệ & Vibe, Bình Hào",134,VND,23.659.740,23.659.740,0,0,0,0,0,23.659.740,23.659.740,23.659.740,23.659.740,23.659.740,165.618.180,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Martynas Laurinavicius Whitesand,Relax,"Red One, An Tuệ & Vibe, Bình Hào",134,VND,0,0,0,16.379.740,0,23.659.740,23.659.740,0,23.659.740,23.659.740,23.659.740,23.659.740,158.338.180,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Martynas Laurinavicius Whitesand,Relax,"Red One, An Tuệ & Vibe, Bình Hào",134,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Martynas Laurinavicius Whitesand,Relax,"Red One, An Tuệ & Vibe, Bình Hào",134,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Martynas Laurinavicius Whitesand,Relax chung,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Martynas Laurinavicius Whitesand,Relax chung,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Martynas Laurinavicius Whitesand,Relax chung,"","",VND,0,0,7.800.000,7.800.000,0,7.800.000,0,0,0,0,0,0,23.400.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Martynas Laurinavicius Whitesand,Relax chung,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
PUEBLO VISTA POLYMESA KAI MOUSIKI LP,Lofi,Red One,71,"",3.720.000,3.720.000,3.720.000,4.029.740,4.029.740,0,0,0,0,0,0,0,19.219.480,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
PUEBLO VISTA POLYMESA KAI MOUSIKI LP,Lofi,Red One,71,VND,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,48.356.880,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
PUEBLO VISTA POLYMESA KAI MOUSIKI LP,Lofi,Red One,71,VND,0,0,0,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,4.029.740,36.267.660,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
PUEBLO VISTA POLYMESA KAI MOUSIKI LP,Lofi,Red One,71,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
PUEBLO VISTA POLYMESA KAI MOUSIKI LP,Lofi,Red One,71,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Maniana Records,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,17.029.740,17.029.740,17.029.740,17.029.740,17.029.740,17.029.740,17.029.740,17.029.740,0,0,0,0,136.237.920,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Maniana Records,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.129.740,13.129.740,17.029.740,17.029.740,17.029.740,17.029.740,172.378.440,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
