mart_resource_usage_sk,resource_id,resource_name,stock_name,isrc,resource_origin,source,repository,repository_id,sub_project_name,sub_project_id,project,project_id,stock_status,stock_stored_date,resource_age_days,distribution_team,last_distribution_date,ar_name,seo_employee_id,seo_name,used_video_count,last_used_published_date,days_since_last_usage,inventory_unused_days
9456c086e9488e502cc1e6481d517110,HGFA01F2B4B1CB484C019F454C91A6737C05,,Tyx Tinn - Lunar Reflections.wav,,,,,,,,,,Lưu kho,2024-09-24,702,,,,,,0,,,
4825fa581a615396fe8ab04cc1e00c84,HGFA01F2DE55C0BC4B119DAD91C653233160,One With The World,One With The World.mp3,QT2WN2504597,odoo,Kho sản xuất,Chillout - 2 - An Tuệ | Chillout,367,Chillout - 2 - An Tuệ,658,Chillout,142,Hàng nguội,2025-11-27,273,,2026-07-29,,,,1,2025-12-28,242,
48b529c3c21506432da166ef8c74fb56,HGFA01F35AD863584EFAA7D52DAA2D8FCFB5,,Take-Me-Higher-(Original-Mix)_HGFA01F35AD863584EFAA7D52DAA2D8FCFB5.mp3,,,,,,,,,,Tồn kho,2024-05-21,828,,,,,,0,,,828
f2d44259977d5ea148a8bba48b6d40e3,HGFA01F592A796AE40A898E359542786163A,Hold Me Down,Hold-Me-Down_HGFA01F592A796AE40A898E359542786163A.mp3,,purchased,Theo tháng,Natural Deep (RA music),7db5b4b4331a53fd6170f89e27c77b59,Không có dự án con,b03bbf0c6df6daa75fb563bc69bef781,Deep House,96,Tồn kho,2023-12-06,995,DEEP HOUSE - HG - KHO NỘI DUNG CHUNG,2026-08-14,,,,0,,,995
41aa50c91adb187f596c348553342612,HGFA01F6503D71F44E3DA808B9298BA41687,,Brahms - Horn Trio in E flat Op.40 - III. Adagio mesto.wav,,,,,,,,,,Tồn kho,2026-05-26,93,,,,,,0,,,93
660618a341642b03c212e2a563dc35a6,HGFA01F76B8F6AD74DF0801FD15F88C7EC5B,,"Piano Sonata no. 14 in C#m 'Moonlight', Op. 27 no. 2 - I. Adagio sostenuto (1).wav",,,,,,,,,,Tồn kho,2026-05-26,93,,,,,,0,,,93
283a5c4e50855c2f9024d8abc1ea5e7b,HGFA01F79A6FF989482AAAC6FAABF5AC99ED,,,,,,,,,,,,Tồn kho,,,,,,,,0,,,
d15c6c096eeee065e9ad875450f9b564,HGFA01F812290A6E44119CE25910864E421C,,Mood.wav,,,,,,,,,,Tồn kho,2025-01-07,597,,,,,,0,,,597
ce13884c05c60b26c91a0c8f050bb968,HGFA01F84B318DB14C09AF63344DC54B1E1D,,MoonHouse-107_HGFA3DD43C9BFF7D4E7487BE4EB21BBBC5C9.wav,,,,,,,,,,Tồn kho,2024-11-22,643,,,,,,0,,,643
ff26489d1fe9e274d98934ba0eef502d,HGFA01F87C5503444A738C3C11CA2CBD8540,,Fallin_ For The Mess.mp3,,,,,,,,,,Tồn kho,2026-08-05,22,,,,,,0,,,22
258eeba241c01b7f272cbbec686c84ab,HGFA01F8C7E92226459AA31DBA115B5D3460,,Digital Serenade (1).wav,,,,,,,,,,Tồn kho,2025-03-12,533,,,,,,0,,,533
d08f6bc17e3895b569eb5fab81e893c9,HGFA01F991C3B8A449C8910A0178DA6FFAE3,,,,,,,,,,,,Tồn kho,,,,,,,,0,,,
bb2b59fa3bb68631e21f5c7ef567be9b,HGFA01FA45029F3B4FBD8085FE65DE0CD45D,,PTC5186562_01_02_First Act Esultate.mp3,,,,,,,,,,Tồn kho,2026-04-07,142,,,,,,0,,,142
9bc771337ca2299c518a0d1d08d994bc,HGFA01FA7AE698E54FF28D88707344E18C13,,,,,,,,,,,,Tồn kho,,,,,,,,0,,,
40efda13655eb67e024ea3e273de02a8,HGFA01FAF7B7BC334AC2A0CE31AB59AC91A6,,Concerto-Grosso-No--5-in-B♭-major-Op-6-3-_HGFA1AD7B428421442C39AE9F1240B80D6F4.mp3,,,,,,,,,,Tồn kho,2025-08-23,369,,,,,,0,,,369
3347ce395647134d6dbc54f0c8e73b6b,HGFA01FCCA290827493888B87BD5E000DC4B,,NB_D1022.mp3,,,,,,,,,,Tồn kho,2025-09-24,337,,,,,,0,,,337
a37c4109ee3aae664bb7eaf79beb371f,HGFA01FDA1C82B06454BB9C3757B75EE6723,I Need,Türksan-Şencan---I-Need_HGFA01FDA1C82B06454BB9C3757B75EE6723.mp3,,purchased,Theo tháng,Pofiqist,f080dffe37a00d603f9fb51eb97b3a6c,Không có dự án con,b03bbf0c6df6daa75fb563bc69bef781,Deep House,96,Tồn kho,2024-07-22,766,"Forest Music Group - ADMIN, FMG - Audio, FMG - P.Editor, FMG SG - Dương, FMG SG - Trường Anh, FMG - Leader Khai thác",2025-05-05,,,,0,,,766
4448978f311f6d0661c44c6e463fa3a6,HGFA01FDAC9A49D24FCF80D2D969FA7C73B2,"Pictures at an Exhibition: No. 10, The Great Gate of Kiev",Pictures-at-an-Exhibition-No--10-The-Great-Gate-of-Kiev_HGFA01FDAC9A49D24FCF80D2D969FA7C73B2.mp3,,purchased,Theo tháng,HalidonMusic,c9cd57d81824e0bffef5cf8fd4f005ea,Không có dự án con,815a5db0f121c22f8b20714e0b5bc717,Classical,91,Lưu kho,2023-06-05,1179,,,,,,0,,,
cf50b4aac77902afe25303fd6b57b089,HGFA01FEDF089B204041954E6EE307DF6EEA,,jazz lofi hiphop 21-3 Track  (5).wav,,,,,,,,,,Tồn kho,2025-03-21,524,"Forest Music Group - ADMIN, FMG - Audio, FMG - P.Editor, FMG SG - Dương, FMG SG - Trường Anh, FMG - Leader Khai thác",2025-05-05,,,,0,,,524
6193779d7fd03f889f0faad6c2968b8e,HGFA01FF9CFCF6414E24AF476A0D40B19926,Endless Passion,Yunus-Emre-Özdemir---Endless-Passion_HGFA01FF9CFCF6414E24AF476A0D40B19926.mp3,,purchased,Theo tháng,Pofiqist,f080dffe37a00d603f9fb51eb97b3a6c,Không có dự án con,b03bbf0c6df6daa75fb563bc69bef781,Deep House,96,Tồn kho,2024-07-22,766,"Forest Music Group - ADMIN, FMG - Audio, FMG - P.Editor, FMG SG - Dương, FMG SG - Trường Anh, FMG - Leader Khai thác",2025-05-05,,,,0,,,766
3fcbc37a4138b9a31a93f56b2c2dad0b,HGFA01FFD57DF04A406599BB486038C74916,,Treehouse-111_HGFAFDC273C61BF54235B56D001600B7F3DE.wav,,,,,,,,,,Tồn kho,2024-11-22,643,,,,,,0,,,643
b1d591ca2bc09e5cb276a84c32fde743,HGFA0200BCA3AA954157B80AE81C8B10C405,,Noise-BedroomCity-40_HGFAB2B955CB9CBE42078CDEFFEF82991342.wav,,,,,,,,,,Tồn kho,2024-11-23,642,,,,,,0,,,642
6744972b4a465a1391e7ea2c420d8a57,HGFA0200C00FDC1C4D588E6DE626479A0176,Astral Flow,miwalizm - Astral Flow.mp3,UKZGC2411241,resource_information_add,,Dreamhop,0a0e961427eb6e7bea1738967de36d9e,Không có dự án con,c85959fcf73d7bf1c3486bb49487f15c,Lofi,116,Hàng nguội,2025-02-04,569,"LOFI - HG - KHO NỘI DUNG CHUNG, VH Core Youtube, VH Core Youtube, LOFI - HG - KHO NỘI DUNG CHUNG",2025-07-30,,,,1,2026-01-20,219,
90cfe7822d605f27eb11d317dcc42bee,HGFA020176CCD38247B9A718BF31493F49F7,,"Beethoven - Quartet No.8 in E minor, Op.59, No.2 - I. Allegro.wav",,,,,,,,,,Tồn kho,2026-05-26,93,,,,,,0,,,93
