id,process_id,next_approve_line_id,current_approve_line_id,notif_approve_line_id,create_uid,write_uid,name,project_code,state,has_lyrics,date_start,date_end,note,date_sent,date_approved,create_date,write_date,user_request_id,hg_paymenttool_id,_source_id,_source_connection,_batch_id,_loaded_at
117,,,,,6,6,Love Song Cover - 0,LSC-0,draft,,,,Love Song Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
118,,,,,6,6,Nhạc AI MKT 4,AI4,done,,2024-10-01,,Nhạc AI MKT 4,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
119,,,,,6,6,Nhạc Indo,IN,done,,2024-10-01,,Nhạc Indo YEG,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
120,,,,,6,6,Nhạc Ngủ (KID),NK,progress,,,,Nhạc ngủ (KID),,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
121,,,,,6,6,Nhạc Việt,NV,done,,,2023-02-01,Nhạc Việt,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
122,,,,,6,6,Phonk,PH,progress,,,,Phonk,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
125,,,,,6,6,Piano Cover - 0,RPC-0,progress,,2024-04-01,,Relax Piano Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
126,,,,,6,6,Pop Cover - 0,PC-0,done,,,,Pop Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
128,,,,,6,6,R&B Cover - 0,RBC-0,draft,,,,R&B Cover,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
131,,,,,6,6,Sáo Tây Tạng,STT,progress,,,,Sáo Tây Tạng,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
132,,,,,6,6,Sóng âm,SA,progress,,,,Relax - Sóng âm,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
111,,,,,6,6,Indie Pop - 2,IP-2,progress,,2024-09-01,,Indie Pop AI,,,2025-08-17 10:51:09.832011,2026-07-21 07:51:52.75656,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
140,,,,,6,6,Jazz House,JH,progress,,,,,,,2025-08-17 10:51:09.832011,2026-07-09 02:23:15.920028,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
