dim_artist_sk,platform_id,platform_name
139042a4157a773f209847829d80894d,5487,Adam Firman
56c3b2c6ea3a83aaeeff35eeb45d700d,5488,Ken Hagen
2706d952855897483572487456d4498d,34300,Nguyễn Quang Hiệp
10d4b366f410a1275f7b684f07a28456,15258,Nhất Tín Computer
5300ef422e613b74fbf759d293aaab6a,5886,reya_drone
5c6a2ff5001c13fb4b0425a45e5b8e11,15604,Nora Elen
d902c3ce47124c66ce615d5ad9ba304f,5489,Josh Mccabe
1bc2029a8851ad344a8d503930dfd7f7,5491,brendinkelly
75394e5f44eea02f577f82aaf9c7a091,35995,Phạm Mạnh Thi
2ef6b53bebd1a794aa0fe7749ed72393,15387,Leo Marin
f01acd85b5e40e93f565627a8bb8bd98,5492,Mikesugianto
59b109c700b500daa9ef3a6769bc8c6f,15195,Nguyễn Phương Nam
fdbe012e2e11314b96402b32c0df26b7,5493,Chance Jackson
ccea163536ff22f5706464b2d5cff933,15220,Trần Đức Thắng
57b33ae6c0bf00c454900bea31d88893,15221,Hoàng Kim Toàn
aedebcb18edb997470daa998aa9a326f,35476,OM Himalayas Healer
297599ea587669a83f7d30846c397b72,35902,SØLACE
85f3375756047fba207ce9b85780313b,5494,Brooklyn
cca8f108b55ec9e39d7885e24f7da0af,5677,nathanleeallen Nathan
228e338fddcdf62a8065110d0b5f87fb,6706,jaxonanderson
674f3c2c1a8a6f90461e8a66fb5550ba,5678,Ernest
166cee72e93a992007a89b39eb29628b,5679,Hannah Wright
e3d389ef8c92b280760c6ebd647c2cee,15259,Nguyễn Lan Anh
87784eca6b0dea1dff92478fb786b401,5691,Biển vô cực Thái Bình
16449cdd169d248c891506ac8628480d,15394,Mikael Dorne
b597460c506e8e35fb0cc1c1905dd3bc,5692,Hiếu Nguyễn Photo
d3e2e8f631bd9336ed25b8162aef8782,5414,Nguyễn Trung Hiếu 1995
973cf0f1e5cb6a86bcc5a188d698a7bc,15196,JD Wander
689aa1f4357cb7072554e435dca9a370,35478,OM Himalayas Healer
d8b08550cd94134c41e87ac5ab772552,35487,m0nd3r
415185ea244ea2b2bedeb0449b926802,5443,Huy Kiên
bbdba257f96ea1bfa6e0aa829c59984c,15229,Bùi Mạnh Ninh
4456cdcdb5224d37e0219099d42e0639,15620,SØLACE
602443a3d6907117d8b4a308844e963e,6707,Oxalis Adventure
8697b0e913b66de79d5edfb73cdf07ca,35903,SØLACE
aa1ec9091310e2f702004015db05a86b,35479,Cao Bá Hưng
587b7b833034299fdd5f4b10e7dc9fca,5444,Hữu Đức Bùi
3d3d286a8d153a4a58156d0e02d8570c,5446,Dương lâm nhất sinh
623a1f8e55863044aa680a8fa581c36a,5447,Nguyen Khuong (Samson Sakata)
dd32544610bf007f0def4abc9b7ff9ef,5448,Huy Billy
67fe0f66449e31fdafdc3505c37d6acb,5449,Dươnq Lâm Nhất Sinh
0e2e84a82d94dc94d5749d44d4c6c73b,15395,moonveil
9a6a1aaafe73c572b7374828b03a1881,5450,Garazi Diaz
95a7e4252fc7bc562a711ef96884a383,5451,Khắn Xù
febefe1cc5c87748ea02036dbe9e3d67,5452,Tran Duc Hung
8ae5780d22688d976ebce9d8fb3db81c,5453,I N S L E E G R A M
107030ca685076c0ed5e054e2c3ed940,5454,Nguyễn Minh Tùng
