step_order,buoc,status_order,tinh_trang,flow_item_key,resource_id,hg_stock_id,isrc,so_id,po_id,po_detail_id,channel_id,repository_id,production_sub_project_id,production_project_id,stock_sub_project_id,stock_project_id,sub_project_id,project_id,order_company_id,stock_company_id,company_id,net_id,platform,stock_stored_date,recorded_date,so_luong
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,YouTube,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,YouTube RED,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,iTunes,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:2252,2252,HGFA0F031238550F49C58F8D04B8A4FBC59A,QT2WN2504718,116,,1014,UCpNlhTtzZxIN85Lyw1eyxaw,207,440,140,,948b9aff-d21b-4345-b976-33e412c5f3e8,440,948b9aff-d21b-4345-b976-33e412c5f3e8,,,,,iTunes Match,2025-12-15 03:05:14.115279,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:7612,7612,HGFA0F04234D5808416994EC491EBE0C2DCE,QT2WN2601806,264,,5131,UCnaP0my64xwPUqmSP37StnA,457,426,132,,ee7bf8f4-7edd-4ff1-a9c0-ce4de3cc5845,426,ee7bf8f4-7edd-4ff1-a9c0-ce4de3cc5845,,,,,YouTube,2026-05-07 03:27:19.55377,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:4948,4948,HGFA0F0B446719ED45FEBE61659E35BB53BA,QT2WN2600206,205,,3958,UCOXVfJ65eGuwafHkktb4LbA,338,655,96,,a76d214b-b2d3-43f8-85d5-96d6a453c9a2,655,a76d214b-b2d3-43f8-85d5-96d6a453c9a2,,953df40d-e9ff-42e4-9ae3-6c1a8b149921,953df40d-e9ff-42e4-9ae3-6c1a8b149921,,Apple Music,2026-01-19 06:46:27.829218,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:4948,4948,HGFA0F0B446719ED45FEBE61659E35BB53BA,QT2WN2600206,205,,3958,UCOXVfJ65eGuwafHkktb4LbA,338,655,96,,a76d214b-b2d3-43f8-85d5-96d6a453c9a2,655,a76d214b-b2d3-43f8-85d5-96d6a453c9a2,,953df40d-e9ff-42e4-9ae3-6c1a8b149921,953df40d-e9ff-42e4-9ae3-6c1a8b149921,,YouTube,2026-01-19 06:46:27.829218,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:4948,4948,HGFA0F0B446719ED45FEBE61659E35BB53BA,QT2WN2600206,205,,3958,UCOXVfJ65eGuwafHkktb4LbA,338,655,96,,a76d214b-b2d3-43f8-85d5-96d6a453c9a2,655,a76d214b-b2d3-43f8-85d5-96d6a453c9a2,,953df40d-e9ff-42e4-9ae3-6c1a8b149921,953df40d-e9ff-42e4-9ae3-6c1a8b149921,,YouTube RED,2026-01-19 06:46:27.829218,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:7760,7760,HGFA0F139603E58545419F8E4E6E7B9BC35D,QT2WN2602535,291,,5816,,474,655,96,,,655,96,,,,,,2026-06-04 04:06:21.171751,,1
2,SX→NT,1,Hoàn thành,SX_NT:1:3243,3243,HGFA0F19D06E99504875979941284F006349,QT2WN2504005,127,,,UCO-5ivj9ort4hynusKqH36Q,337,650,96,,af13f5cc-6b51-4949-ad6c-1786c27eaa3d,650,af13f5cc-6b51-4949-ad6c-1786c27eaa3d,,,,96a42cc3-08dc-42a4-9ffb-e6a4c9e33e21,Apple Music,2025-11-12 03:54:17.475887,,1
