id,company_id,parent_id,manager_id,color,master_department_id,create_uid,write_uid,complete_name,parent_path,name,note,active,create_date,write_date,hg_paymenttool_id,hg_assign_sequence_id,hg_repair_sequence_id,hg_return_sequence_id,hg_dispose_sequence_id,hg_code,sequence,_source_id,_source_connection,_batch_id,_loaded_at
36,2,35,,,35,6,2318,Red One Media / Phòng hỗ trợ Red One,35/36/,"{""en_US"": ""Phòng hỗ trợ"", ""vi_VN"": ""Phòng hỗ trợ Red One""}",,t,2025-08-18 17:25:19.573697,2025-12-24 06:59:24.122131,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
30,,29,,0,29,6,59,BD / Thu Mua Footage,29/30/,"{""en_US"": ""Thu Mua Footage"", ""vi_VN"": ""Thu Mua Footage""}",,t,2025-08-17 15:28:52.043447,2026-01-06 04:40:35.778089,,527,528,529,530,BD,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
34,,,,0,34,6,6,Vận hành Youtube,34/,"{""en_US"": ""Vận hành Youtube"", ""vi_VN"": ""Vận hành Youtube""}",,t,2025-08-18 16:42:01.543873,2025-08-18 16:47:57.449813,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
35,2,,,,35,6,2318,Red One Media,35/,"{""en_US"": ""Marketing 1"", ""vi_VN"": ""Red One Media""}",,t,2025-08-18 17:25:19.573697,2025-12-24 06:59:53.805406,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
138,7,,,0,138,6,2318,Marketing Label,138/,"{""en_US"": ""M"", ""vi_VN"": ""Marketing Label""}",,t,2025-08-23 08:35:54.973842,2025-12-24 06:56:36.532899,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
98,,,,,98,6,4581,Vibe,98/,"{""en_US"": ""Marketing 3"", ""vi_VN"": ""Vibe""}",,t,2025-08-18 17:48:22.947069,2025-11-12 01:45:16.603173,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
24,,21,,0,20,6,6,Sản Xuất Nhạc / Sản Xuất Nhạc HN / A&R HN,20/21/24/,"{""en_US"": ""A&R HN"", ""vi_VN"": ""A&R HN""}",,t,2025-08-17 12:10:14.937379,2025-09-21 16:38:08.311628,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
50,2,40,,,35,6,2318,Red One Media / Phòng MKT2 / Team MKT Quang,35/40/50/,"{""en_US"": ""Team SEO Youtube anh Quang"", ""vi_VN"": ""Team MKT Quang""}",,t,2025-08-18 17:25:19.573697,2025-12-24 07:04:03.242973,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
46,,37,,,35,6,2318,Red One Media / Phòng Sáng tạo / Team Motion,35/37/46/,"{""en_US"": ""Team Motion"", ""vi_VN"": ""Team Motion""}",,t,2025-08-18 17:25:19.573697,2025-12-24 06:57:00.933549,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
48,2,38,,,35,6,2318,Red One Media / Phòng MKT1 / Team MKT Hoài Nam,35/38/48/,"{""en_US"": ""Team SEO Youtube anh Nam"", ""vi_VN"": ""Team MKT Hoài Nam""}",,t,2025-08-18 17:25:19.573697,2025-12-24 07:03:27.535171,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
27,,22,,0,20,6,6,Sản Xuất Nhạc / Sản Xuất Nhạc SG / A&R SG,20/22/27/,"{""en_US"": ""A&R SG"", ""vi_VN"": ""A&R SG""}",,t,2025-08-17 12:10:52.90576,2025-09-21 16:38:08.311628,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
144,,,,0,144,6,4581,Hành chính nhân sự,144/,"{""en_US"": ""Hành chính nhân sự"", ""vi_VN"": ""Hành chính nhân sự""}",,f,2025-09-01 16:01:18.770112,2025-11-26 03:42:53.366123,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
