dim_isrc_sk,hg_stock_id,isrc
72eed5c386abdab508c0791e6e6c099c,P(2_B_O)_A2502_NHCB01_02,QT2WN2501065
bc490d84c04a9f9819ebab3b359a19a0,P(2_B_O)_A2502_TCH01_01,QT2WN2501066
63c7ac9386f0fb61973c4ecc1a347d7d,J(4_B_O)_A2502_HHD2_01,QT2WN2501091
37f8527baecca58f145242aade39371b,J(4_B_O)_A2502_HHD2_02,QT2WN2501092
ac979dfd736de605f38a8030fc31212f,J(4_B_O)_A2502_NPQ_01,QT2WN2501093
9a26961ae547914ea17f16892156361e,J(4_B_O)_A2502_NPQ_02,QT2WN2501094
736cbbc0c9df802d6e07f10a525eb2d1,J(4_B_O)_A2502_NPQ_03,QT2WN2501095
8bcd712ee262b96473385844a52f79a0,J(4_B_O)_B2502_HHD2_01,QT2WN2501096
fc3466f2db9d87a99df20126ef6664ad,J(4_B_O)_B2502_HHD2_02,QT2WN2501097
f1d4524896b434a8bcfc671f9af9fa0f,J(4_B_O)_B2502_HHD2_03,QT2WN2501098
949241c18c542167218d24f35f2c1b96,J(4_B_O)_B2502_NPQ_01,QT2WN2501099
1c14ac718e4ffea414af1aea24d7be57,J(4_B_O)_B2502_NPQ_02,QT2WN2501100
b6acff5d7bdcd3448154b712f18192b5,PA(2_B_O)_D2502_TCH07_01,QT2WN2501101
f503cfbb0d53bb67a3ac2ac202f55816,PA(2_B_O)_D2502_TCH07_02,QT2WN2501102
31058f114b452ba2d251da445e316dc4,PA(2_B_O)_D2502_TCH07_03,QT2WN2501103
0d3e91cb56e26e907c428c21b2d127b3,PA(2_B_O)_D2502_TCH07_04,QT2WN2501104
164ea7ef989f6e7e731faded92ef5325,PA(2_B_O)_E2502_HVMK02_01,QT2WN2501105
6b69abaf866774197f14e76efc3eee61,PA(2_B_O)_E2502_HVMK02_02,QT2WN2501106
778961be161c95215ca04a41a16e5e4b,J(H_B_O)_A2502_TT4_01,QT2WN2501107
69c7aa1087a3c9d55af66de82fa82ee8,J(H_B_O)_A2502_TT4_02,QT2WN2501108
f06d8c2e70121f9b2ec52e85ec5b2b91,J(H_B_O)_A2502_TT4_03,QT2WN2501109
eda3386718e28fce33338ca0d2aab826,J(H_B_O)_A2502_TT4_04,QT2WN2501110
acbdae7ed62c4daf4c8b48ea502e9c78,J(H_B_O)_A2502_TT4_05,QT2WN2501111
a5e655b7a2a5f0336070ea472708ee73,J(H_B_O)_A2502_TT4_06,QT2WN2501112
72162adea72070c4e48a5286b75186c8,J(H_B_O)_A2502_TT4_07,QT2WN2501113
ad96c222752aa2ee47744f77a71f8b8f,J(H_B_O)_A2502_TT4_08,QT2WN2501114
fd9002298cde29e24ed46f12a24a2eb7,J(H_B_O)_A2502_TT4_09,QT2WN2501115
3198b51b05eb2f599a9920bd8808d7bd,J(H_B_O)_A2502_TT4_10,QT2WN2501116
bb1d87537eddec3d6e446f0ede14019a,J(H_B_O)_A2502_HS2_01,QT2WN2501117
d7f8e3c04648e1b6719d8b6007ec2c0d,J(H_B_O)_A2502_HS2_02,QT2WN2501118
0d6a6d31d8080728989f37fe541c1e2a,J(H_B_O)_A2502_HS2_03,QT2WN2501119
263cd04930c957726aba66dc0bf04847,J(H_B_O)_A2502_HS2_04,QT2WN2501120
838aadc7263b54c1849ebd4de2904f4c,J(H_B_O)_A2502_HS2_05,QT2WN2501121
0143cea33e0412b07854392da110f6fc,J(H_B_O)_A2502_HS2_06,QT2WN2501122
7393f672c0804d3b0c4b0c958a03fc16,J(H_B_O)_A2502_HS2_07,QT2WN2501123
a2a8574e956aa77373eeab988132b462,J(H_B_O)_A2502_HS2_08,QT2WN2501124
4e8f6b9549a860217405db6246e848cb,J(H_B_O)_A2502_HS2_09,QT2WN2501125
88e7d820b9a528a62ec661ae97e151e6,J(H_B_O)_A2502_HS2_10,QT2WN2501126
f9a8221fd4b48435440aea4126bde58b,CL(1_B_PD)_A2503_HNK4_01,QT2WN2501127
eecc863516671d0f38bbfeb2553da86e,CL(1_B_PD)_A2503_HNK4_02,QT2WN2501128
cf55735912c0bb787b149127714fea76,CL(1_B_PD)_A2503_HNK4_03,QT2WN2501129
7c5b1f051abee4b7bb96e1624fe18ccf,CL(1_B_PD)_A2503_HNK4_04,QT2WN2501130
9e3a46fb5e8edcf31580a8af8514da6d,CL(1_B_PD)_A2503_NGH8_01,QT2WN2501131
a79f287ada4178fe1576e0fb4d83ab41,CL(1_B_PD)_A2503_NGH8_02,QT2WN2501132
b1e6dc3acf5c350b0360d31588aa744f,CL(1_B_PD)_A2503_NGH8_03,QT2WN2501133
af7536764a69398bed526fe7f64d6034,CL(1_B_PD)_A2503_HNK5_01,QT2WN2501134
a162cb6d3f6901f0c3002aff623f706f,CL(1_B_PD)_B2503_HNK5_02,QT2WN2501135
ab55087fa886f8e3fd9fe99105a1ca32,CL(1_B_PD)_B2503_ NPQ5_01,QT2WN2501136
0968b26fe87d423681fd095d721bc2ac,CL(1_B_PD)_C2503_TT4_01,QT2WN2501137
a71b481747b6ed41582b07e3bf6e8d73,CL(1_B_PD)_C2503_TT4_02,QT2WN2501138
6a7016ac3535426a472d7381249c3401,CL(1_B_PD)_C2503_TT4_03,QT2WN2501139
4b759aa8e3d4caeadbd85727d0831112,J(H_B_O)_B2502_NPQ4_01,QT2WN2501140
9aa07bbccb7fd7b9e89d1c0e4a832e27,J(H_B_O)_B2502_NPQ4_02,QT2WN2501141
cc7acffd98709be3431e5966411b4b75,J(H_B_O)_B2502_NPQ4_03,QT2WN2501142
f2d148b6db10104ffa594ea421f949ae,J(H_B_O)_B2502_NPQ4_04,QT2WN2501143
5af77d4db9a9297f0c4a1053ca8d2217,J(H_B_O)_B2502_NPQ4_05,QT2WN2501144
3709adbb0aa7f5808f52fc6c863e4614,J(H_B_O)_B2502_NPQ4_06,QT2WN2501145
a2e5ece1dd4fec5b12d637c528e28836,J(H_B_O)_B2502_NPQ4_07,QT2WN2501146
a8555658cdb5b4824544265d567a8790,J(H_B_O)_B2502_NPQ4_08,QT2WN2501147
dfe589d9df716cdfdb5b724c7dd926fa,J(H_B_O)_B2502_NPQ4_09,QT2WN2501148
03a1886e74790be5a0aca32bf6659146,J(H_B_O)_B2502_NPQ4_10,QT2WN2501149
41a8f04ae1b2e292d2132e7b2b4deb67,J(H_B_O)_B2502_NPQ4_11,QT2WN2501150
bdcdc19f18e099f1a971bd03dcb582c6,J(H_B_O)_B2502_NPQ4_12,QT2WN2501151
