fact_khsx_detail_sk,production_plan_detail_id,production_plan_id,production_manager,ar_manager,status
109a0ca3bc27f3e96597370d5c8cf03d,686,10,32,36,draft
01f78be6f7cad02658508fe4616098a9,550,9,33,47,draft
c6bff625bdb0393992c9d4db0c6bbe45,1101,12,30,35,approved
eddea82ad2755b24c4e168c5fc2ebd40,309,9,33,38,draft
6aca97005c68f1206823815f66102863,598,9,33,38,approved
eefc9e10ebdc4a2333b42b2dbb8f27b6,763,10,32,39,draft
39059724f73a9969845dfe4146c5660e,270,9,33,37,draft
ccc0aa1b81bf81e16c676ddb977c5881,922,10,33,38,draft
bcbe3365e6ac95ea2c0343a2395834dd,222,9,31,36,draft
20f07591c6fcb220ffe637cda29bb3f6,277,9,33,37,draft
07cdfd23373b17c6b337251c22b7ea57,278,9,33,37,draft
92c8c96e4c37100777c7190b76d28233,280,9,33,37,draft
e3796ae838835da0b6f6ea37bcf8bcb7,281,9,33,37,draft
a081cab429ff7a3b96e0a07319f1049e,3086,45,33,35,draft
6a9aeddfc689c1d0e3b9ccc3ab651bc5,282,9,33,37,draft
0f49c89d1e7298bb9930789c8ed59d48,283,9,33,37,draft
1e6e0a04d20f50967c64dac2d639a577,1100,12,30,35,approved
c667d53acd899a97a85de0c201ba99be,1102,12,30,36,draft
aace49c7d80767cffec0e513ae886df0,1103,12,30,36,draft
19f3cd308f1455b3fa09a282e0d496f4,251,9,31,36,draft
4dcae38ee11d3a6606cc6cd636a3628b,1458,19,33,38,draft
1abb1e1ea5f481b589da52303b091cbb,1459,19,33,38,draft
ced556cd9f9c0c8315cfbe0744a3baf0,1498,19,33,38,approved
6766aa2750c19aad2fa1b32f36ed4aee,634,9,33,47,draft
30bb3825e8f631cc6075c0f87bb4978c,589,9,32,39,approved
46ba9f2a6976570b0353203ec4474217,284,9,33,37,draft
0e01938fc48a2cfb5f2217fbfb00722d,285,9,33,37,draft
fc49306d97602c8ed1be1dfbf0835ead,860,10,33,44,draft
47d1e990583c9c67424d369f3414728e,148,7,32,44,approved
8d5e957f297893487bd98fa830fa6413,147,7,32,44,to approve
07042ac7d03d3b9911a00da43ce0079a,1460,19,33,38,draft
95151403b0db4f75bfd8da0b393af853,1461,19,33,38,draft
cbcb58ac2e496207586df2854b17995f,565,9,33,47,draft
4e4b5fbbbb602b6d35bea8460aa8f8e5,562,9,33,47,draft
2f55707d4193dc27118a0f19a1985716,493,9,32,44,draft
16c222aa19898e5058938167c8ab6c57,541,9,33,47,draft
17c276c8e723eb46aef576537e9d56d0,670,10,30,35,draft
8eefcfdf5990e441f0fb6f3fad709e21,563,9,33,47,draft
c21002f464c5fc5bee3b98ced83963b8,1125,12,32,39,draft
dd458505749b2941217ddd59394240e8,568,9,33,47,draft
a7aeed74714116f3b292a982238f83d2,576,9,31,49,draft
fde9264cf376fffe2ee4ddf4a988880d,577,9,31,49,draft
99c5e07b4d5de9d18c350cdf64c5aa3d,567,9,33,47,draft
db85e2590b6109813dafa101ceb2faeb,566,9,33,47,draft
5ea1649a31336092c05438df996a3e59,537,9,33,47,draft
6c524f9d5d7027454a783c841250ba71,356,9,33,39,draft
6490791e7abf6b29a381288cc23a8223,1499,19,33,38,approved
94f6d7e04a4d452035300f18b984988c,300,9,31,38,draft
3d2d8ccb37df977cb6d9da15b76c3f3a,655,9,33,47,approved
2b24d495052a8ce66358eb576b8912c8,145,7,32,44,to approve
ec8ce6abb3e952a85b8551ba726a1227,220,9,31,36,draft
8b16ebc056e613024c057be590b542eb,569,9,33,47,draft
a8849b052492b5106526b2331e526138,578,9,31,50,draft
258be18e31c8188555c2ff05b4d542c3,579,9,31,50,draft
9ad6aaed513b73148b7d49f70afcfb32,583,9,31,50,draft
f5deaeeae1538fb6c45901d524ee2f98,584,9,31,50,draft
16a5cdae362b8d27a1d8f8c7b78b4330,286,9,33,37,draft
918317b57931b6b7a7d29490fe5ec9f9,287,9,33,37,draft
48aedb8880cab8c45637abc7493ecddd,288,9,33,37,draft
839ab46820b524afda05122893c2fe8e,289,9,33,37,draft
2c89109d42178de8a367c0228f169bf8,1244,12,31,49,draft
38ca89564b2259401518960f7a06f94b,1161,12,33,43,draft
335f5352088d7d9bf74191e006d8e24c,240,9,33,36,draft
9be40cee5b0eee1462c82c6964087ff9,365,9,31,39,draft
5ef698cd9fe650923ea331c15af3b160,366,9,31,39,draft
05049e90fa4f5039a8cadc6acbb4b2cc,367,9,31,39,draft
26dd0dbc6e3f4c8043749885523d6a25,633,9,33,47,draft
a9a1d5317a33ae8cef33961c34144f84,585,9,31,50,draft
8f7d807e1f53eff5f9efbe5cb81090fb,839,10,31,42,draft
