id,sequence,expected_employees,no_of_employee,no_of_recruitment,department_id,company_id,contract_type_id,create_uid,write_uid,name,description,requirements,active,create_date,write_date,_source_id,_source_connection,_batch_id,_loaded_at
132,10,1,0,1,,,,6,6,"{""en_US"": ""Human Resources Intern"", ""vi_VN"": ""Human Resources Intern""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
34,10,2,1,1,,,,6,6,"{""en_US"": ""2D Animation"", ""vi_VN"": ""2D Animation""}",,,t,2025-08-18 17:36:45.959127,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
107,10,2,1,1,,,,6,6,"{""en_US"": ""AI Engineer"", ""vi_VN"": ""AI Engineer""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
127,10,1,0,1,,,,6,6,"{""en_US"": ""Social Media Executive"", ""vi_VN"": ""Social Media Executive""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
129,10,6,5,1,,,,6,2318,"{""en_US"": ""Leader Marketing"", ""vi_VN"": ""Leader Marketing""}",,,t,2025-09-10 16:12:13.928772,2026-05-29 10:04:24.244845,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
104,10,9,8,1,,,,6,1,"{""en_US"": ""Assistant"", ""vi_VN"": ""Assistant""}",,,t,2025-09-10 16:12:13.928772,2026-06-16 06:54:04.061636,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
8,10,18,17,1,,,,6,34,"{""en_US"": ""A&R HN"", ""vi_VN"": ""A&R""}",,,t,2025-08-17 11:59:30.280167,2026-06-16 06:36:19.931785,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
14,10,7,6,1,,,,6,1,"{""en_US"": ""Nhân viên BD"", ""vi_VN"": ""Nhân viên BD""}",,,t,2025-08-17 15:33:06.002909,2026-07-01 08:07:41.241014,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
26,10,7,6,1,,,,6,2318,"{""en_US"": ""Trưởng nhóm SEO Youtube"", ""vi_VN"": ""Trưởng nhóm SEO Youtube""}",,,t,2025-08-18 17:36:45.959127,2026-07-09 03:41:34.979622,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
134,10,3,2,1,,,,6,6,"{""en_US"": ""Housekeeping"", ""vi_VN"": ""Housekeeping""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
130,10,1,0,1,,,,6,6,"{""en_US"": ""HR"", ""vi_VN"": ""HR""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
136,10,2,1,1,,,,6,6,"{""en_US"": ""Learning & Development Specialist"", ""vi_VN"": ""Learning & Development Specialist""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
