id,project_id,product_genre_id,product_tmpl_id,sequence_id,create_uid,write_uid,order_type,name,subgenre_code,genre_code,description,brief_link,sample_link,note,create_date,write_date,seq,text_code,backstage_ok,temp_sequence_id,_source_id,_source_connection,_batch_id,_loaded_at
268,,,397,380,6,155,footage,Final Footage - Flycam / Drone,False_FF-F/D_67,,,,,,2025-09-08 02:50:50.276771,2026-01-31 07:05:35.664856,67,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
251,,,1116,397,6,155,footage,Raw Footage - Gimbal,False_RF-G_50,,,,,,2025-09-08 02:50:50.276771,2026-03-03 03:24:42.213265,50,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
206,130,437,25,405,56,6,music,Piano công năng | Sad Piano (Hàn Nhật),PCN(C_B_O)_C,,,,,,2025-08-27 02:41:49.238846,2026-06-08 01:37:45.039166,0,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
135,130,437,24,442,6,6,music,Piano công năng | Ngủ,PCN(C_B_O)_B,PCN(C_B_O),,,,,2025-08-17 12:37:09.717399,2026-06-08 01:37:45.039166,0,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
478,96,650,1311,612,34,6,music,Deep House - 2 - Red One | Deep Emotion Female,DH2(1_V_O)_I,DH2(1_V_O),,,"<div data-oe-version=""1.2""><a href=""https://docs.google.com/spreadsheets/d/1160yBTJP4idgl3X5e9fo8tkVA6hUmLo-Cw8cqjuvulo/edit?gid=0#gid=0"">https://docs.google.com/spreadsheets/d/1160yBTJP4idgl3X5e9fo8tkVA6hUmLo-Cw8cqjuvulo/edit?gid=0#gid=0</a></div>",,2026-05-15 04:51:36.214003,2026-06-08 01:37:45.039166,0,I,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
470,91,356,1301,609,150,6,music,Classical - Red One | Classical Kids,CL(1_B_PD)_E,CL(1_B_PD),,https://docs.google.com/spreadsheets/d/16771m2EKmRVkfXmrWuY5SZYiTUWAX_8Cr9OOVDXISt8/edit?gid=2103079672#gid=2103079672,,,2026-05-04 11:06:36.332653,2026-06-08 01:37:45.039166,0,E,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
469,91,723,1307,605,150,6,music,Classical - 2 - Red One | Classical Piano,CL2(1_B_PD)_D,CL2(1_B_PD),,https://docs.google.com/spreadsheets/d/1PXekrfCPTxYCN1VVVdvxCIY7t6dhQyCX5DhuChzQDio/edit?gid=0#gid=0,,,2026-05-04 11:05:35.658129,2026-06-08 01:37:45.039166,0,D,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
468,91,723,1306,611,150,6,music,Classical - 2 - Red One | Classical Cello,CL2(1_B_PD)_C,CL2(1_B_PD),,https://docs.google.com/spreadsheets/d/1nq45Eq_BHfNuWMXOFal3qkH8YyCOJgLlcPs9Q_gXJT4/edit?gid=0#gid=0,,,2026-05-04 11:05:05.693212,2026-06-08 01:37:45.039166,0,C,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
467,91,723,1305,610,150,6,music,Classical - 2 - Red One | Classical Deep House,CL2(1_B_PD)_B,CL2(1_B_PD),,https://docs.google.com/spreadsheets/d/1eIw-DLdMzV0P3ycu8TtM6tArGU9gVhNFD7EXjW6ExQM/edit?gid=0#gid=0,,,2026-05-04 11:03:57.252061,2026-06-08 01:37:45.039166,0,B,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
466,130,412,1300,604,34,6,music,Piano - An Tuệ | Dreamy Morning,P(2_B_O)_H,P(2_B_O),,,,,2026-05-04 10:21:40.291357,2026-06-08 01:37:45.039166,0,H,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
