dim_net_sk,net_id,net_name
fd2968360823493eb511f0bc3f2eea17,c0568020-d1f8-4f8f-84d7-e4e955ca4cd1,ascoltalamusicavideo
6cb427308c3876a3914cb373dbb2871f,c3412026-9714-4fde-8e82-e5b7d1c0cb76,Dwaem Media Group
cb02b5d25825005359d0b270fb56000e,c69ccc09-e31b-4785-9d5c-fdc157b88b27,Muse Network - M
c2d2ef08e05a8498f73ed9971313e702,c6d42901-14eb-4485-9aff-caf84bb4ea77,"Beijing Hanqi Culture Communication Co., Ltd"
bb215c02d69a2233b5d4395b08fe237f,c6e95e3e-b803-4a2f-b642-c3906212abed,SYSTEMRECORDINGS
83c40e0339a48ba40ba47fe110f8ca60,c704d4b9-3751-41f3-b0ec-f684d052ef66,The District
cae9dd0087981a0d5dddc10a4eafbc5e,c740e31b-3623-4a4f-9b35-a8db911f0282,ABC DIGITAL
ebafabbcbd487c667d37d74213428e76,c7607071-e862-4b9c-9930-227a168e5382,Frederator Allied Affiliate
a8495876575fed118b53d6ae61182321,cb7804c0-7553-46ea-8590-a57e030336bf,Zee Media Corporation Limited
a07c1171f9fa557d819417c7cd515800,cbd55485-580a-4665-a0ca-f5601a59af10,Qyuki_Music
d582707809a8c9ab2477250d29fdac0c,cc7faa7b-bd7c-45ed-b2f5-151521c5787c,MAD TV
f46ed9f8d541b52bcae0df03d46bb3a0,ccf4644f-e4ec-476c-b651-8608d37bf511,Digital Minds Music
2b231470e996a255ebb7bbabddc11be6,cd0ebc3a-b2af-4aab-a572-d75c2298dd3b,Mobile 1 Music
d9051e3e9cbcec4841c5d94ee3de5af2,cd9f408d-b451-4b74-b250-cca17d693703,PT Kokiku Media Indonesia
3e1b33c6218ccaf25363e25380400306,cdcc5715-e140-4df5-8bb9-9fa84bb02f8c,Cat Music
ba1cba0730570cbae505e19268768bc9,cde775ff-be63-48cd-8775-24fcc62f7041,ONIRACOM
da729285f365a1f321f75a52a12e4045,ceb8bf48-2428-48a8-a975-b6afa379d7e7,BPMDigital
b47f86fe391fa39e37ef184acd914f26,cffc4701-fc4d-4f90-985c-0f4fa1ed71fa,OPA Record x
1dec9e53b36c3dc6a1d79f8ab711e6b2,d0bf61bf-acb4-40eb-b264-5d409db2f918,[Merlin] Euphoria Media Group
7dfc73100ef5c621a462757779578f6b,d1c069b5-806f-4447-8c84-031b66dc6a70,WMG
7c1c2c34da37fba70586f3dc8bd174eb,d320cfca-1fbe-4a8e-8399-9fd5f674eca6,MediaQuiz
